"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0014015","positive regulation of gliogenesis","7/224","72/16666",0.0972222222222222,7.23350694444444,6.18689149114261,5.06327666467701e-05,0.0455541237342644,0.0434132231414695,"OLIG2/BIN1/SOX8/MIR125B1/MAG/GJC2/MYRF",7
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","9/224","130/16666",0.0692307692307692,5.15089285714286,5.54558433287963,6.56847320672258e-05,0.0455541237342644,0.0434132231414695,"OR6B3/OR2K2/OR4F4/OR5C1/OR1K1/OR4F21/OR4F5/OR4F17/OR2AE1",9
"GO:0050907","detection of chemical stimulus involved in sensory perception","10/224","167/16666",0.0598802395209581,4.45519674935843,5.23783185994716,8.85569343255928e-05,0.0455541237342644,0.0434132231414695,"OR6B3/TAS2R40/OR2K2/OR4F4/OR5C1/OR1K1/OR4F21/OR4F5/OR4F17/OR2AE1",10
"GO:0009593","detection of chemical stimulus","11/224","202/16666",0.0544554455445545,4.0515823903819,5.09310291937973,9.29795983033746e-05,0.0455541237342644,0.0434132231414695,"OR6B3/TAS2R40/OR2K2/OR4F4/OR5C1/OR1K1/LBP/OR4F21/OR4F5/OR4F17/OR2AE1",11
"GO:0048709","oligodendrocyte differentiation","8/224","108/16666",0.0740740740740741,5.51124338624339,5.48976233507813,0.00010443041885054,0.0455541237342644,0.0434132231414695,"OLIG2/CNP/ABCA2/SOX8/MAG/MAL/MYRF/OPALIN",8
"GO:0090189","regulation of branching involved in ureteric bud morphogenesis","4/224","20/16666",0.2,14.8803571428571,7.24953314186305,0.00012997387560145,0.0455541237342644,0.0434132231414695,"GREM1/SOX8/TACSTD2/VEGFA",4
"GO:0007606","sensory perception of chemical stimulus","11/224","210/16666",0.0523809523809524,3.89723639455782,4.93151985898973,0.000131214173783205,0.0455541237342644,0.0434132231414695,"OR6B3/TAS2R40/OR2K2/OR4F4/OR5C1/OR1K1/OR4F21/SCNN1G/OR4F5/OR4F17/OR2AE1",11
"GO:0008202","steroid metabolic process","13/224","287/16666",0.0452961672473868,3.37011572921852,4.72733256379948,0.000141362680323551,0.0455541237342644,0.0434132231414695,"OSBPL5/ADM/DHCR7/ABCA2/HSD17B3/INSIG1/LIPC/LIPE/MVK/SREBF1/TM7SF2/UGT2B17/CBR1",13
